name,price,link,discounts,product-image
SLAZENGER Jakna jacket M,"9.999,99 RSD",https://planetasport.rs/jakna-jacket-m-sla233m501-01.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/s/l/sla233m501-01.jpg?v=5088968239']
RANG Cipele top hiker 2 M,"7.999,99 RSD",https://planetasport.rs/cipele-top-hiker-2-m-xmf22111-02.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/x/m/xmf22111-02.jpg?v=4c0b098042']
NAUTICA Patike russell M,"8.999,99 RSD",https://planetasport.rs/nautica-nautica-patike-russell-m-ntm424f14-03.html,"['-44%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/n/t/ntm424f14-03.jpg?v=1b7e3fd8dc']
RIDER Japanke cape xvi ad M,"3.299,99 RSD",https://planetasport.rs/japanke-rider-cape-xvi-ad-m-83327-ae902.html,['-17%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83327-ae902.jpg?v=98eee21c9b']
ADIDAS Šorc solid clx sh sl M,"3.599,99 RSD",https://planetasport.rs/sorc-solid-clx-sh-sl-m-hp1773.html,"['-40%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/p/hp1773.jpg?v=fba7c7cc9b']
ADIDAS Šorc solid clx sh sl M,"3.599,99 RSD",https://planetasport.rs/sorc-solid-clx-sh-sl-m-ht2162.html,"['-13%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/t/ht2162.jpg?v=a9e3bd1ffc']
ARENA Šorc fundamentals boxer r M,"3.599,99 RSD",https://planetasport.rs/sorc-fundamentals-boxer-r-m-006443-860.html,"['-31%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006443-860.jpg?v=751edde8be']
ARENA Šorc fundamentals logo boxer r M,"3.999,99 RSD",https://planetasport.rs/sorc-fundamentals-arena-logo-boxer-r-m-006444-510.html,"['-31%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006444-510.jpg?v=72ef25cb90']
ARENA Šorc fundamentals boxer r M,"3.599,99 RSD",https://planetasport.rs/sorc-fundamentals-boxer-r-m-006443-510.html,"['-31%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006443-510.jpg?v=9e0d848663']
ARENA Šorc fundamentals logo boxer r M,"3.999,99 RSD",https://planetasport.rs/sorc-fundamentals-arena-logo-boxer-r-m-006444-862.html,"['-38%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006444-862.jpg?v=c4a7f0531d']
ARENA Šorc men's beach short allover M,"4.799,99 RSD",https://planetasport.rs/sorc-men-s-beach-short-allover-m-005981-520.html,"['-35%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/005981-520.jpg?v=ab1fd91abd']
ARENA Šorc fundamentals logo boxer r M,"3.999,99 RSD",https://planetasport.rs/sorc-sorc-fundamentals-arena-logo-boxer-r-m-006444-480.html,"['-31%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006444-480.jpg?v=6661c96f4a']
ARENA Šorc fundamentals x-short r M,"2.999,99 RSD",https://planetasport.rs/sorc-fundamentals-x-short-r-m-006441-510.html,['-38%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006441-510.jpg?v=8ebdb15b1d']
ARENA Šorc fundamentals x-short r M,"2.999,99 RSD",https://planetasport.rs/sorc-fundamentals-x-short-r-m-006441-780.html,['-38%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006441-780.jpg?v=280c0fe160']
ARENA Šorc fundamentals boxer r M,"3.599,99 RSD",https://planetasport.rs/sorc-fundamentals-boxer-r-m-006443-480.html,"['-31%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006443-480.jpg?v=b022520b9d']
ARENA Šorc fundamentals boxer r M,"3.599,99 RSD",https://planetasport.rs/sorc-fundamentals-boxer-r-m-006443-780.html,"['-31%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006443-780.jpg?v=47f8e2213d']
ARENA Šorc fundamentals logo boxer r M,"3.999,99 RSD",https://planetasport.rs/sorc-fundamentals-arena-logo-boxer-r-m-006444-780.html,"['-31%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/0/0/006444-780.jpg?v=38511edb08']
PUMA Patike caven 2.0 M,"7.799,99 RSD",https://planetasport.rs/patike-caven-2-0-m-392290-02.html,"['-20%', '-11%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/9/392290-02.jpg?v=963a11228f']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm07black.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm07black.jpg?v=4d13df4bd3']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm03blue.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm03blue.jpg?v=d305353325']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm07red.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm07red.jpg?v=b5c9f3f4de']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm12black.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm12black.jpg?v=792f8dc2e2']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm08black.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm08black.jpg?v=bc894d7d79']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm13navy.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm13navy.jpg?v=1a5633e083']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm01blue.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm01blue.jpg?v=ed2f0109ac']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm02blue.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm02blue.jpg?v=ffc9766d55']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbs04black.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbs04black.jpg?v=bb37cd10a2']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm05navy.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm05navy.jpg?v=cc2d1eaffe']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm01black.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm01black.jpg?v=ce0c6eee7f']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm01navy.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm01navy.jpg?v=ed6efe199c']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm03black.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm03black.jpg?v=818c6a8e97']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm05red.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm05red.jpg?v=edf7286b2a']
KARL LAGERFELD šorc swim shorts M,"9.999,99 RSD",https://planetasport.rs/sorc-swim-shorts-m-kl20mbm03red.html,['-63%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/l/kl20mbm03red.jpg?v=b36634096c']
RIDER Papuče r line plus ii ad M,"3.499,99 RSD",https://planetasport.rs/papuce-rider-r-line-plus-ii-ad-m-11315-ad270.html,"['-11%', '-9%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/1/11315-ad270.jpg?v=b38ee44d49']
"SPEEDO Šorc essentials 16"" watershort aM M","3.399,99 RSD",https://planetasport.rs/sorc-essentials-16-watershort-am-m-812433a369.html,"['-20%', '-9%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/1/812433a369.jpg?v=d720655e1d']
"SPEEDO Šorc print redondo edge volley 17"" M","6.199,99 RSD",https://planetasport.rs/sorc-print-redondo-edge-volley-17-410-m-800260001529.html,"['-25%', '-11%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/0/800260001529.jpg?v=3f961bddc9']
"SPEEDO Šorc print redondo edge volley 17"" M","6.199,99 RSD",https://planetasport.rs/sorc-print-redondo-edge-volley-17-660-m-800260600971.html,"['-25%', '-11%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/0/800260600971.jpg?v=24a54c798f']
"SPEEDO Šorc essentials 16"" watershort aM M","3.399,99 RSD",https://planetasport.rs/sorc-essentials-16-watershort-am-m-8124336446.html,"['-20%', '-9%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/1/8124336446.jpg?v=78061ffc02']
"SPEEDO Šorc essentials 16"" watershort aM M","3.399,99 RSD",https://planetasport.rs/sorc-essentials-16-watershort-am-m-812433d740.html,"['-20%', '-9%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/1/812433d740.jpg?v=754ffbcbf6']
"SPEEDO Šorc plmt leisure 16"" wsht aM M","5.599,99 RSD",https://planetasport.rs/sorc-plmt-leisure-16-wsht-am-m-800319414279.html,"['-11%', '-35%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/0/800319414279.jpg?v=2ed3e735ea']
CONVERSE Patike chuck taylor all star flux ultra M,"8.999,99 RSD",https://planetasport.rs/patike-chuck-taylor-all-star-flux-ultra-m-a01169c.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/a/0/a01169c.jpg?v=2249c5ef3e']
CONVERSE Patike chuck taylor all star ultra M,"8.999,99 RSD",https://planetasport.rs/patike-chuck-taylor-all-star-ultra-m-171680c.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/7/171680c.jpg?v=1431017c4f']
RIDER Japanke cape xvi ad M,"3.299,99 RSD",https://planetasport.rs/japanke-rider-cape-xvi-ad-m-83327-ae906.html,['-43%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83327-ae906.jpg?v=af5e14fcaf']
RIDER Japanke cape xvi ad M,"3.299,99 RSD",https://planetasport.rs/japanke-rider-cape-xvi-ad-m-83327-ae900.html,['-43%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83327-ae900.jpg?v=76c53b9df3']
PUMA Patike x-ray speed lite M,"7.799,99 RSD",https://planetasport.rs/patike-x-ray-speed-lite-m-384639-34.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/8/384639-34.jpg?v=7f378f74d6']
PUMA Patike caven 2.0 M,"7.799,99 RSD",https://planetasport.rs/patike-caven-2-0-m-392290-01.html,"['-20%', '-11%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/9/392290-01.jpg?v=cc0d10bc3a']
PUMA Patike x-ray 2 square M,"9.999,99 RSD",https://planetasport.rs/patike-x-ray-2-square-m-373108-50.html,"['-38%', '-15%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/7/373108-50.jpg?v=8c71daccb2']
ADIDAS Majica kratak rukav yo tee M,"3.999,99 RSD",https://planetasport.rs/majica-kratak-rukav-yo-tee-m-hl2400.html,"['-22%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/l/hl2400.jpg?v=4b700be955']
ADIDAS Šorc run it short M M,"3.999,99 RSD",https://planetasport.rs/sorc-run-it-short-m-m-hl3967.html,"['-16%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/l/hl3967.jpg?v=06ffd18946']
ADIDAS Majica kratak rukav run it tee M M,"3.999,99 RSD",https://planetasport.rs/majica-kratak-rukav-run-it-tee-m-m-hl3968.html,"['-22%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/l/hl3968.jpg?v=bc5ace00bc']
ADIDAS Čarape run adizero sock U,"2.199,99 RSD",https://planetasport.rs/carape-run-adizero-sock-u-hn6315.html,['-32%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/n/hn6315.jpg?v=d8127bdcd6']
ADIDAS Šorc d2m logo short M,"3.999,99 RSD",https://planetasport.rs/sorc-d2m-logo-short-m-hm4798.html,"['-16%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/m/hm4798.jpg?v=26f4246b95']
