name,price,link,discounts,product-image
SKECHERS Patike flex glow bolt BP,"6.999,99 RSD",https://planetasport.rs/patike-flex-glow-bolt-bp-400138l-bksl.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/0/400138l-bksl.jpg?v=9428abd472']
SKECHERS Patike flex glow bolt BP,"7.299,99 RSD",https://planetasport.rs/patike-flex-glow-bolt-bp-400138l-bkbl.html,"['-6%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/0/400138l-bkbl.jpg?v=1b266ebc25']
SKECHERS Patike uno gen1 BG,"7.999,99 RSD",https://planetasport.rs/patike-uno-gen1-bg-403647l-bkrd.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/0/403647l-bkrd.jpg?v=3022ea26e9']
NIKE Patike court borough low recraft GT,"5.199,99 RSD",https://planetasport.rs/patike-court-borough-low-recraft-gt-dv5458-102.html,"['-11%', '-44%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/v/dv5458-102.jpg?v=e6d6a58342']
RANG Papuče hud BP,"1.499,99 RSD",https://planetasport.rs/papuce-hud-bp-qps23114-44.html,"['-58%', '-58%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/q/p/qps23114-44.jpg?v=19c5ad8137']
ADIDAS Duks tiro tkjkt es y BG,"4.199,99 RSD",https://planetasport.rs/duks-tiro-tkjkt-es-y-bg-h60022.html,['-17%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/6/h60022.jpg?v=2cdd859be0']
ADIDAS Donji deo trenerke b cb wo c pt BG,"4.599,99 RSD",https://planetasport.rs/donji-deo-b-cb-wo-c-pt-bg-hf1857.html,"['-18%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/f/hf1857.jpg?v=864043337e']
ADIDAS Duks sst track top BG,"5.399,99 RSD",https://planetasport.rs/duks-sst-track-top-bg-hd2043.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/d/hd2043.jpg?v=16653c6ced']
ADIDAS Duks sst track top BG,"5.399,99 RSD",https://planetasport.rs/duks-sst-track-top-bg-hk0302.html,"['-17%', '-31%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/k/hk0302.jpg?v=7d083beb93']
ADIDAS Donji deo trenerke pogba tap pant BG,"6.499,99 RSD",https://planetasport.rs/donji-deo-pogba-tap-pant-bg-hg6776.html,['-23%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/g/hg6776.jpg?v=068f98509c']
ADIDAS Patike run 70s k GG,"5.999,99 RSD",https://planetasport.rs/patike-run-70s-k-gg-gw0235.html,"['-6%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/w/gw0235.jpg?v=6176d97b14']
ADIDAS Papuče adilette aqua k GG,"2.399,99 RSD",https://planetasport.rs/papuce-adilette-aqua-k-gg-gv7850.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/v/gv7850.jpg?v=0a94b3dffe']
ADIDAS Patike vulc raid3r mickey BP,"4.799,99 RSD",https://planetasport.rs/patike-vulc-raid3r-mickey-bp-gz3316.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/z/gz3316.jpg?v=c50eceea14']
ADIDAS Šorc g 3s sho GG,"2.999,99 RSD",https://planetasport.rs/sorc-g-3s-sho-gg-gn1460.html,['-29%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/n/gn1460.jpg?v=d753583da3']
ADIDAS Patike grand court 2.0 el k GP,"4.499,99 RSD",https://planetasport.rs/patike-grand-court-2-0-el-k-gp-ig4841.html,"['-19%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig4841.jpg?v=17f772ea06']
ADIDAS Patike ownthegame 2.0 k BG,"6.599,99 RSD",https://planetasport.rs/patike-ownthegame-2-0-k-bg-if2693.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if2693.jpg?v=3350cbc667']
ADIDAS Patike advantage cf i GT,"4.799,99 RSD",https://planetasport.rs/patike-advantage-cf-i-gt-ie7457.html,"['-40%', '-44%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/e/ie7457.jpg?v=34700ae0da']
SKECHERS Patike flex glow bolt BT,"5.499,99 RSD",https://planetasport.rs/patike-flex-glow-bolt-bt-400138n-bkrd.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/0/400138n-bkrd.jpg?v=4debe0d3d7']
